,Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,2000
979,Albania,ALB,MAL,Dominica,DMA,0
980,Albania,ALB,MAL,Dominican Republic,DOM,11
981,Albania,ALB,MAL,Ecuador,ECU,13
982,Albania,ALB,MAL,"Egypt, Arab Rep.",EGY,75
983,Albania,ALB,MAL,El Salvador,SLV,0
984,Albania,ALB,MAL,Equatorial Guinea,GNQ,0
985,Albania,ALB,MAL,Eritrea,ERI,0
986,Albania,ALB,MAL,Estonia,EST,0
987,Albania,ALB,MAL,Ethiopia,ETH,8
988,Albania,ALB,MAL,Faeroe Islands,FRO,2
989,Albania,ALB,MAL,Falkland Islands (Malvinas),FLK,0
990,Albania,ALB,MAL,Fiji,FJI,0
991,Albania,ALB,MAL,Finland,FIN,28
992,Albania,ALB,MAL,France,FRA,15967
993,Albania,ALB,MAL,French Guiana,GUF,0
994,Albania,ALB,MAL,French Polynesia,PYF,0
995,Albania,ALB,MAL,Gabon,GAB,11
996,Albania,ALB,MAL,"Gambia, The",GMB,5
997,Albania,ALB,MAL,Georgia,GEO,0
998,Albania,ALB,MAL,Germany,DEU,105175
999,Albania,ALB,MAL,Ghana,GHA,12
1000,Albania,ALB,MAL,Gibraltar,GIB,0
1001,Albania,ALB,MAL,Greece,GRC,246814
1002,Albania,ALB,MAL,Greenland,GRL,0
1003,Albania,ALB,MAL,Grenada,GRD,0
1004,Albania,ALB,MAL,Guadeloupe,GLP,2
1005,Albania,ALB,MAL,Guam,GUM,0
1006,Albania,ALB,MAL,Guatemala,GTM,1
1007,Albania,ALB,MAL,Guinea,GIN,7
1008,Albania,ALB,MAL,Guinea-Bissau,GNB,0
1009,Albania,ALB,MAL,Guyana,GUY,0
1010,Albania,ALB,MAL,Haiti,HTI,0
1011,Albania,ALB,MAL,Honduras,HND,1
1012,Albania,ALB,MAL,"Hong Kong SAR, China",HKG,9
1013,Albania,ALB,MAL,Hungary,HUN,160
1014,Albania,ALB,MAL,Iceland,ISL,7
1015,Albania,ALB,MAL,India,IND,28
1016,Albania,ALB,MAL,Indonesia,IDN,19
1017,Albania,ALB,MAL,"Iran, Islamic Rep.",IRN,3
1018,Albania,ALB,MAL,Iraq,IRQ,0
1019,Albania,ALB,MAL,Ireland,IRL,120
1020,Albania,ALB,MAL,Isle of Man,IMN,..
1021,Albania,ALB,MAL,Israel,ISR,208
1022,Albania,ALB,MAL,Italy,ITA,145477
1023,Albania,ALB,MAL,Jamaica,JAM,0
1024,Albania,ALB,MAL,Japan,JPN,0
1025,Albania,ALB,MAL,Jordan,JOR,2
1026,Albania,ALB,MAL,Kazakhstan,KAZ,0
1027,Albania,ALB,MAL,Kenya,KEN,0
1028,Albania,ALB,MAL,Kiribati,KIR,0
1029,Albania,ALB,MAL,"Korea, Dem. Rep.",PRK,0
1030,Albania,ALB,MAL,"Korea, Rep.",KOR,0
1031,Albania,ALB,MAL,Kosovo,XKX,..
1032,Albania,ALB,MAL,Kuwait,KWT,8
1033,Albania,ALB,MAL,Kyrgyz Republic,KGZ,3
1034,Albania,ALB,MAL,Lao PDR,LAO,0
1035,Albania,ALB,MAL,Latvia,LVA,2
1036,Albania,ALB,MAL,Lebanon,LBN,48
1037,Albania,ALB,MAL,Lesotho,LSO,0
1038,Albania,ALB,MAL,Liberia,LBR,0
1039,Albania,ALB,MAL,Libya,LBY,0
1040,Albania,ALB,MAL,Liechtenstein,LIE,1
1041,Albania,ALB,MAL,Lithuania,LTU,4
1042,Albania,ALB,MAL,Luxembourg,LUX,122
1043,Albania,ALB,MAL,"Macao SAR, China",MAC,0
1044,Albania,ALB,MAL,"Macedonia, FYR",MKD,742
1045,Albania,ALB,MAL,Madagascar,MDG,8
1046,Albania,ALB,MAL,Malawi,MWI,0
1047,Albania,ALB,MAL,Malaysia,MYS,14
1048,Albania,ALB,MAL,Maldives,MDV,0
1049,Albania,ALB,MAL,Mali,MLI,0
1050,Albania,ALB,MAL,Malta,MLT,0
1051,Albania,ALB,MAL,Marshall Islands,MHL,0
1052,Albania,ALB,MAL,Martinique,MTQ,0
1053,Albania,ALB,MAL,Mauritania,MRT,0
1054,Albania,ALB,MAL,Mauritius,MUS,0
1055,Albania,ALB,MAL,Mayotte,MYT,0
1056,Albania,ALB,MAL,Mexico,MEX,6
1057,Albania,ALB,MAL,"Micronesia, Fed. Sts.",FSM,0
1058,Albania,ALB,MAL,Moldova,MDA,0
1059,Albania,ALB,MAL,Monaco,MCO,48
1060,Albania,ALB,MAL,Mongolia,MNG,0
1061,Albania,ALB,MAL,Montenegro,MNE,..
1062,Albania,ALB,MAL,Montserrat,MSR,0
1063,Albania,ALB,MAL,Morocco,MAR,0
1064,Albania,ALB,MAL,Mozambique,MOZ,0
1065,Albania,ALB,MAL,Myanmar,MMR,5
1066,Albania,ALB,MAL,Namibia,NAM,0
1067,Albania,ALB,MAL,Naura,NRU,0
1068,Albania,ALB,MAL,Nepal,NPL,2
1069,Albania,ALB,MAL,Netherlands,NLD,293
1070,Albania,ALB,MAL,Netherlands Antilles,ANT,0
1071,Albania,ALB,MAL,New Caledonia,NCL,0
1072,Albania,ALB,MAL,New Zealand,NZL,36
1073,Albania,ALB,MAL,Nicaragua,NIC,20
1074,Albania,ALB,MAL,Niger,NER,4
1075,Albania,ALB,MAL,Nigeria,NGA,39
1076,Albania,ALB,MAL,Niue,NIU,0
1077,Albania,ALB,MAL,Norfolk Island,NFK,0
1078,Albania,ALB,MAL,Northern Mariana Islands,MNP,0
1079,Albania,ALB,MAL,Norway,NOR,83
1080,Albania,ALB,MAL,Oman,OMN,4
1081,Albania,ALB,MAL,Pakistan,PAK,4
1082,Albania,ALB,MAL,Palau,PLW,0
1083,Albania,ALB,MAL,Panama,PAN,10
1084,Albania,ALB,MAL,Papua New Guinea,PNG,0
1085,Albania,ALB,MAL,Paraguay,PRY,0
1086,Albania,ALB,MAL,Peru,PER,11
1087,Albania,ALB,MAL,Philippines,PHL,290
1088,Albania,ALB,MAL,Poland,POL,41
1089,Albania,ALB,MAL,Portugal,PRT,0
1090,Albania,ALB,MAL,Puerto Rico,PRI,5
1091,Albania,ALB,MAL,Qatar,QAT,114
1092,Albania,ALB,MAL,Reunion,REU,1
1093,Albania,ALB,MAL,Romania,ROU,328
1094,Albania,ALB,MAL,Russian Federation,RUS,190
1095,Albania,ALB,MAL,Rwanda,RWA,43
1096,Albania,ALB,MAL,Saint Helena,SHN,0
1097,Albania,ALB,MAL,Saint Pierre and Miquelon,SPM,0
1098,Albania,ALB,MAL,Samoa,WSM,0
1099,Albania,ALB,MAL,San Marino,SMR,0
1100,Albania,ALB,MAL,Sao Tome and Principe,STP,0
1101,Albania,ALB,MAL,Saudi Arabia,SAU,34
1102,Albania,ALB,MAL,Senegal,SEN,2
1103,Albania,ALB,MAL,Serbia,SRB,..
1104,Albania,ALB,MAL,Serbia and Montenegro,SCG,1790
1105,Albania,ALB,MAL,Seychelles,SYC,0
1106,Albania,ALB,MAL,Sierra Leone,SLE,0
1107,Albania,ALB,MAL,Singapore,SGP,4
1108,Albania,ALB,MAL,Slovak Republic,SVK,12
1109,Albania,ALB,MAL,Slovenia,SVN,0
1110,Albania,ALB,MAL,Solomon Islands,SLB,0
1111,Albania,ALB,MAL,Somalia,SOM,0
1112,Albania,ALB,MAL,South Africa,ZAF,30
1113,Albania,ALB,MAL,Spain,ESP,212
1114,Albania,ALB,MAL,Sri Lanka,LKA,0
1115,Albania,ALB,MAL,St. Kitts and Nevis,KNA,0
1116,Albania,ALB,MAL,St. Lucia,LCA,0
1117,Albania,ALB,MAL,St. Vincent and the Grenadines,VCT,0
1118,Albania,ALB,MAL,Sudan,SDN,3
1119,Albania,ALB,MAL,Suriname,SUR,0
1120,Albania,ALB,MAL,Swaziland,SWZ,0
1121,Albania,ALB,MAL,Sweden,SWE,200
1122,Albania,ALB,MAL,Switzerland,CHE,1064
1123,Albania,ALB,MAL,Syrian Arab Republic,SYR,14
1124,Albania,ALB,MAL,"Taiwan, China",TWN,0
1125,Albania,ALB,MAL,Tajikistan,TJK,0
1126,Albania,ALB,MAL,Tanzania,TZA,4
1127,Albania,ALB,MAL,Thailand,THA,591
1128,Albania,ALB,MAL,Timor-Leste,TLS,0
1129,Albania,ALB,MAL,Togo,TGO,22
1130,Albania,ALB,MAL,Tokelau,TKL,0
1131,Albania,ALB,MAL,Tonga,TON,0
1132,Albania,ALB,MAL,Trinidad and Tobago,TTO,0
1133,Albania,ALB,MAL,Tunisia,TUN,2
1134,Albania,ALB,MAL,Turkey,TUR,1673
1135,Albania,ALB,MAL,Turkmenistan,TKM,0
1136,Albania,ALB,MAL,Turks and Caicos Islands,TCA,0
1137,Albania,ALB,MAL,Tuvalu,TUV,0
1138,Albania,ALB,MAL,Uganda,UGA,3
1139,Albania,ALB,MAL,Ukraine,UKR,92
1140,Albania,ALB,MAL,United Arab Emirates,ARE,65
1141,Albania,ALB,MAL,United Kingdom,GBR,0
1142,Albania,ALB,MAL,United States,USA,22336
1143,Albania,ALB,MAL,Uruguay,URY,2
1144,Albania,ALB,MAL,Uzbekistan,UZB,0
1145,Albania,ALB,MAL,Vanuatu,VUT,0
1146,Albania,ALB,MAL,"Venezuela, RB",VEN,8
1147,Albania,ALB,MAL,Vietnam,VNM,13
1148,Albania,ALB,MAL,Virgin Islands (U.S.),VIR,0
1149,Albania,ALB,MAL,"Virgin Islands, British",VGB,0
1150,Albania,ALB,MAL,Wallis and Futuna,WLF,0
1151,Albania,ALB,MAL,West Bank and Gaza,PSE,24
1152,Albania,ALB,MAL,"Yemen, Rep.",YEM,13
1153,Albania,ALB,MAL,Zambia,ZMB,0
1154,Albania,ALB,MAL,Zimbabwe,ZWE,3
1617,Algeria,DZA,MAL,Afghanistan,AFG,18
1618,Algeria,DZA,MAL,Albania,ALB,0
1619,Algeria,DZA,MAL,Algeria,DZA,0
1620,Algeria,DZA,MAL,American Samoa,ASM,0
1621,Algeria,DZA,MAL,Andorra,AND,152
1622,Algeria,DZA,MAL,Angola,AGO,1
1623,Algeria,DZA,MAL,Anguilla,AIA,0
1624,Algeria,DZA,MAL,Antigua and Barbuda,ATG,2
1625,Algeria,DZA,MAL,Argentina,ARG,0
1626,Algeria,DZA,MAL,Armenia,ARM,0
1627,Algeria,DZA,MAL,Aruba,ABW,0
1628,Algeria,DZA,MAL,Australia,AUS,625
1629,Algeria,DZA,MAL,Austria,AUT,373
1630,Algeria,DZA,MAL,Azerbaijan,AZE,0
1631,Algeria,DZA,MAL,"Bahamas, The",BHS,0
1632,Algeria,DZA,MAL,Bahrain,BHR,2
1633,Algeria,DZA,MAL,Bangladesh,BGD,86
1634,Algeria,DZA,MAL,Barbados,BRB,3
1635,Algeria,DZA,MAL,Belarus,BLR,0
1636,Algeria,DZA,MAL,Belgium,BEL,4378
1637,Algeria,DZA,MAL,Belize,BLZ,3
1638,Algeria,DZA,MAL,Benin,BEN,105
1639,Algeria,DZA,MAL,Bermuda,BMU,3
1640,Algeria,DZA,MAL,Bhutan,BTN,0
1641,Algeria,DZA,MAL,Bolivia,BOL,6
