Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1980
Afghanistan,AFG,MAL,Switzerland,CHE,50
Afghanistan,AFG,MAL,Syrian Arab Republic,SYR,2696
Afghanistan,AFG,MAL,"Taiwan, China",TWN,0
Afghanistan,AFG,MAL,Tajikistan,TJK,0
Afghanistan,AFG,MAL,Tanzania,TZA,4
Afghanistan,AFG,MAL,Thailand,THA,46
Afghanistan,AFG,MAL,Timor-Leste,TLS,0
Afghanistan,AFG,MAL,Togo,TGO,0
Afghanistan,AFG,MAL,Tokelau,TKL,0
Afghanistan,AFG,MAL,Tonga,TON,0
Afghanistan,AFG,MAL,Trinidad and Tobago,TTO,0
Afghanistan,AFG,MAL,Tunisia,TUN,30
Afghanistan,AFG,MAL,Turkey,TUR,1860
Afghanistan,AFG,MAL,Turkmenistan,TKM,0
Afghanistan,AFG,MAL,Turks and Caicos Islands,TCA,0
Afghanistan,AFG,MAL,Tuvalu,TUV,0
Afghanistan,AFG,MAL,Uganda,UGA,0
Afghanistan,AFG,MAL,Ukraine,UKR,0
Afghanistan,AFG,MAL,United Arab Emirates,ARE,6912
Afghanistan,AFG,MAL,United Kingdom,GBR,262
Afghanistan,AFG,MAL,United States,USA,2843
Afghanistan,AFG,MAL,Uruguay,URY,0
Afghanistan,AFG,MAL,Uzbekistan,UZB,0
Afghanistan,AFG,MAL,Vanuatu,VUT,1
Afghanistan,AFG,MAL,"Venezuela, RB",VEN,7
Afghanistan,AFG,MAL,Vietnam,VNM,0
Afghanistan,AFG,MAL,Virgin Islands (U.S.),VIR,0
Afghanistan,AFG,MAL,"Virgin Islands, British",VGB,0
Afghanistan,AFG,MAL,Wallis and Futuna,WLF,0
Afghanistan,AFG,MAL,West Bank and Gaza,PSE,27
Afghanistan,AFG,MAL,"Yemen, Rep.",YEM,1247
Afghanistan,AFG,MAL,Zambia,ZMB,1
Afghanistan,AFG,MAL,Zimbabwe,ZWE,0
Albania,ALB,MAL,Afghanistan,AFG,0
Albania,ALB,MAL,Albania,ALB,0
Albania,ALB,MAL,Algeria,DZA,3
Albania,ALB,MAL,American Samoa,ASM,0
Albania,ALB,MAL,Andorra,AND,33
Albania,ALB,MAL,Angola,AGO,0
Albania,ALB,MAL,Anguilla,AIA,0
Albania,ALB,MAL,Antigua and Barbuda,ATG,0
Albania,ALB,MAL,Argentina,ARG,24
Albania,ALB,MAL,Armenia,ARM,0
Albania,ALB,MAL,Aruba,ABW,0
Albania,ALB,MAL,Australia,AUS,1095
Albania,ALB,MAL,Austria,AUT,336
Albania,ALB,MAL,Azerbaijan,AZE,0
Albania,ALB,MAL,"Bahamas, The",BHS,0
Albania,ALB,MAL,Bahrain,BHR,2
Albania,ALB,MAL,Bangladesh,BGD,1
Albania,ALB,MAL,Barbados,BRB,0
Albania,ALB,MAL,Belarus,BLR,0
Albania,ALB,MAL,Belgium,BEL,540
Albania,ALB,MAL,Belize,BLZ,0
Albania,ALB,MAL,Benin,BEN,2
Albania,ALB,MAL,Bermuda,BMU,1
Albania,ALB,MAL,Bhutan,BTN,0
Albania,ALB,MAL,Bolivia,BOL,0
Albania,ALB,MAL,Bosnia and Herzegovina,BIH,103
Albania,ALB,MAL,Botswana,BWA,0
